Title,Topic,Name,CustomName,Representation,open_ai,Representative_Docs,Top_n_words,Probability,Representative_document
Efficacy of Kinesio® tapes in obstetrical brachial plexus injury: a randomized controlled trial; [Efficacité des bandes Kinesio® dans le plexus brachial obstetrical: essai contrôlé randomisé],22,22_therapy_controlled trial_randomized controlled trial_versus,Clinical Analysis and Trials in Therapy Treatments,"['therapy', 'controlled trial', 'randomized controlled trial', 'versus', 'clinical trial', 'analysis', 'level', 'use', 'effectiveness', 'trial']",['Clinical Analysis and Trials in Therapy Treatments'],"['Efficacy of Kinesio® tapes in obstetrical brachial plexus injury: a randomized controlled trial; [Efficacité des bandes Kinesio® dans le plexus brachial obstetrical: essai contrôlé randomisé]', 'Extracorporeal shock wave versus cold therapy for delayed-onset muscle soreness: a randomized controlled trial; [Terapia a onde d’urto extracorporee e terapia del freddo per indolenzimento muscolare a insorgenza ritardata: uno studio controllato randomizzato]', 'A randomized clinical trial on the changing of median nerve cross-sectional area and pain after extracorporeal shock wave and low-level laser therapy added to conventional physical therapy in patients with mild-to-moderate carpal tunnel syndrome']",therapy - controlled trial - randomized controlled trial - versus - clinical trial - analysis - level - use - effectiveness - trial,1,TRUE
Knotted and knotless double row transosseous equivalent repair techniques for arthroscopic rotator cuff repair demonstrate comparable post-operative outcomes,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
Consequences of anterior knee pain after anterior cruciate ligament reconstruction: A 2015–2020 cohort study,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
Individuals experiencing disability and the ableist physical literacy narrative: critical considerations and recommendations for practice,17,17_children_motor_individuals_adolescents,Motor Skills Development and Intervention in Children with Disabilities,"['children', 'motor', 'individuals', 'adolescents', '12', 'intervention', 'qualitative', 'interventions', 'muscle strength', 'self']",['Motor Skills Development and Intervention in Children with Disabilities'],"['Relationship between the sociodemographic profile and motor competence of children', 'The validity and reliability of school-based fundamental movement skills screening to identify children with motor difficulties', 'Can the Doman method improve motor competence in children of 4 years of age? A quasi-experimental study of two Physical Education programmes in preschool education']",children - motor - individuals - adolescents - 12 - intervention - qualitative - interventions - muscle strength - self,1,FALSE
Emotions and Food Consumption: Emotional Eating Behavior in a European Population,3,3_older adults_older_physical activity_community,Physical Activity and Health in Older Adults,"['older adults', 'older', 'physical activity', 'community', 'adults', 'validity', 'activity', 'association', 'disease', 'interventions']",['Physical Activity and Health in Older Adults'],"['The Impact of the Physical Activity Level on Sarcopenic Obesity in Community-Dwelling Older Adults', 'Older adults benefit from a new community-based physical activity programme', 'Real-Life Outcomes of a Multicomponent Exercise Intervention in Community-Dwelling Frail Older Adults and Its Association with Nutritional-Related Factors']",older adults - older - physical activity - community - adults - validity - activity - association - disease - interventions,0.486732206,FALSE
Motor point heatmap guide for neuromuscular electrical stimulation of the quadriceps muscle,15,15_lower_differences_gait_relationship,Lower Limb Biomechanics and Pain Management in Chronic Conditions,"['lower', 'differences', 'gait', 'relationship', 'individuals', 'impact', 'cohort', 'cross sectional study', 'sectional study', 'lower limb']",['Lower Limb Biomechanics and Pain Management in Chronic Conditions'],"['ASSOCIATION AMONG PAIN, SKIN BLOOD FLOW AND TEMPERATURE, PLANTAR FASCIA AND FLEXOR DIGITORUM BREVIS THICKNESS, AND FOOT FUNCTION INDEX IN INDIVIDUALS WITH PLANTAR FASCIITIS: A CROSS-SECTIONAL STUDY', 'Efficacy of pharmacological and non-pharmacological therapies on pain intensity and disability for plantar fasciitis: A systematic review and meta-analysis', 'The relationship between foot and ankle joint flexibility measures and barefoot plantar pressures in healthy older adults: a cross-sectional study']",lower - differences - gait - relationship - individuals - impact - cohort - cross sectional study - sectional study - lower limb,0.665547109,FALSE
Single-legged landing behavior of high school basketball players with chronic ankle instability,14,14_chronic_players_randomized controlled trial_single,Rehabilitation and Assessment in Athletes with Chronic Ankle Instability,"['chronic', 'players', 'randomized controlled trial', 'single', 'reliability', 'lower', 'effectiveness', 'randomized controlled', 'controlled trial', 'program']",['Rehabilitation and Assessment in Athletes with Chronic Ankle Instability'],"['Effects of a specific injury prevention neuromuscular training program for young female dancers. A randomized-controlled trial', 'Effectiveness of the Rehabilitation Training Combined with Maitland Mobilization for the Treatment of Chronic Ankle Instability: A Randomized Controlled Trial', 'The effectiveness of the STOP-X training program on the knee valgus angle and balance in female basketball players with dynamic knee valgus: a randomized controlled trial']",chronic - players - randomized controlled trial - single - reliability - lower - effectiveness - randomized controlled - controlled trial - program,1,FALSE
"Efficacy of photobiomodulation therapy combined with mobile health education in patients with head and neck cancer suffering from chronic xerostomia after radiotherapy: protocol for a three-arm, randomised, placebo-controlled, double-blinded study",4,4_women_life_related_rehabilitation,Impact of Exercise and Rehabilitation on Quality of Life and Health in Patients,"['women', 'life', 'related', 'rehabilitation', 'body', 'quality life', 'physical activity', 'randomized controlled', 'intensity', 'randomized controlled trial']",['Impact of Exercise and Rehabilitation on Quality of Life and Health in Patients'],"['Effects of Multimodal Exercise on Health-related Physical Fitness and Quality of Life in Patients with Nasopharyngeal Carcinoma during Radiotherapy', 'Efficacy of a 4-Week Nurse-Led Exercise Rehabilitation Program in Improving the Quality of Life in Women Receiving a Post-Mastectomy Reconstruction Using the Motiva ErgonomixTM Round SilkSurface', 'Exercise capacity, physical activity and quality of life in patients with newly diagnosed hematologic malignancies: a cross-sectional study']",women - life - related - rehabilitation - body - quality life - physical activity - randomized controlled - intensity - randomized controlled trial,0.91632619,FALSE
Social participation and change in walking time among older adults: a 3-year longitudinal study from the JAGES,3,3_older adults_older_physical activity_community,Physical Activity and Health in Older Adults,"['older adults', 'older', 'physical activity', 'community', 'adults', 'validity', 'activity', 'association', 'disease', 'interventions']",['Physical Activity and Health in Older Adults'],"['The Impact of the Physical Activity Level on Sarcopenic Obesity in Community-Dwelling Older Adults', 'Older adults benefit from a new community-based physical activity programme', 'Real-Life Outcomes of a Multicomponent Exercise Intervention in Community-Dwelling Frail Older Adults and Its Association with Nutritional-Related Factors']",older adults - older - physical activity - community - adults - validity - activity - association - disease - interventions,0.800980193,FALSE
Examining the Relative Age Effect of Elite Paralympic Athletes,1,1_players_athletes_performance_injury,Athletic Performance and Injury Prevention in Young Players,"['players', 'athletes', 'performance', 'injury', 'influence', 'sports', 'muscles', 'strength', 'pilot', 'association']",['Athletic Performance and Injury Prevention in Young Players'],"['Impact of small-sided games and running-based high-intensity interval training on physical performance in female football players', 'Maximizing plyometric training for adolescents: a meta-analysis of ground contact frequency and overall intervention time on jumping ability: a systematic review and meta-analysis', 'Changes in physical performance, body composition and physical training during military operations: systematic review and meta-analysis']",players - athletes - performance - injury - influence - sports - muscles - strength - pilot - association,0.8522595,FALSE
"Differences in running biomechanics between young, healthy men and women carrying external loads",16,16_lower limb_limb_lower_differences,Lower Limb Muscle Strength and Biomechanics Studies,"['lower limb', 'limb', 'lower', 'differences', 'muscle strength', 'healthy', 'time', 'body', 'reliability', 'women']",['Lower Limb Muscle Strength and Biomechanics Studies'],"['Kinematics and muscle activity of the lower limb during single-leg stance on the two sides of the Togu Jumper', 'Can early golfing lead to acetabular and lower limb changes? A cross-sectional study', 'Relationships among lateral medicine ball throw test performance, HIP and trunk muscle strength, and lower limb kinematics: A cross-sectional study']",lower limb - limb - lower - differences - muscle strength - healthy - time - body - reliability - women,0.928836288,FALSE
“They Just See Guys as Bodies”: Assessing Credibility of Injury Communication in the National Football League,1,1_players_athletes_performance_injury,Athletic Performance and Injury Prevention in Young Players,"['players', 'athletes', 'performance', 'injury', 'influence', 'sports', 'muscles', 'strength', 'pilot', 'association']",['Athletic Performance and Injury Prevention in Young Players'],"['Impact of small-sided games and running-based high-intensity interval training on physical performance in female football players', 'Maximizing plyometric training for adolescents: a meta-analysis of ground contact frequency and overall intervention time on jumping ability: a systematic review and meta-analysis', 'Changes in physical performance, body composition and physical training during military operations: systematic review and meta-analysis']",players - athletes - performance - injury - influence - sports - muscles - strength - pilot - association,1,FALSE
Real-Life Outcomes of a Multicomponent Exercise Intervention in Community-Dwelling Frail Older Adults and Its Association with Nutritional-Related Factors,3,3_older adults_older_physical activity_community,Physical Activity and Health in Older Adults,"['older adults', 'older', 'physical activity', 'community', 'adults', 'validity', 'activity', 'association', 'disease', 'interventions']",['Physical Activity and Health in Older Adults'],"['The Impact of the Physical Activity Level on Sarcopenic Obesity in Community-Dwelling Older Adults', 'Older adults benefit from a new community-based physical activity programme', 'Real-Life Outcomes of a Multicomponent Exercise Intervention in Community-Dwelling Frail Older Adults and Its Association with Nutritional-Related Factors']",older adults - older - physical activity - community - adults - validity - activity - association - disease - interventions,0.588186405,TRUE
Lifestyle and health changes in wheelchair users with a chronic disability after 12 weeks of using the WHEELS mHealth application,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
“Couch-to-5k or Couch to Ouch to Couch!?” Who Takes Part in Beginner Runner Programmes in the UK and Is Non-Completion Linked to Musculoskeletal Injury?,1,1_players_athletes_performance_injury,Athletic Performance and Injury Prevention in Young Players,"['players', 'athletes', 'performance', 'injury', 'influence', 'sports', 'muscles', 'strength', 'pilot', 'association']",['Athletic Performance and Injury Prevention in Young Players'],"['Impact of small-sided games and running-based high-intensity interval training on physical performance in female football players', 'Maximizing plyometric training for adolescents: a meta-analysis of ground contact frequency and overall intervention time on jumping ability: a systematic review and meta-analysis', 'Changes in physical performance, body composition and physical training during military operations: systematic review and meta-analysis']",players - athletes - performance - injury - influence - sports - muscles - strength - pilot - association,1,FALSE
Discordance of global assessment between the patients and physicians predicts 9-year pain-related outcomes in rheumatoid arthritis patients,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
Early Weight-bearing Rehabilitation Protocol After Anterior Cruciate Ligament Reconstruction,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
State of the Art Physiotherapist-Led Approaches to Safe Aging in Place,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
Clinical and Functional Outcomes of Arthroscopic Bankart Repair among Patients with Recurrent Anterior Shoulder Dislocation,8,8_year_following_outcomes_clinical,Clinical Outcomes and Treatments in Shoulder Care,"['year', 'following', 'outcomes', 'clinical', 'treatment', 'functional', 'specific', 'assessment', 'compared', 'dynamic']",['Clinical Outcomes and Treatments in Shoulder Care'],"['Minimum 5-Year Clinical Outcomes of Arthroscopically Repaired Massive Rotator Cuff Tears: Effect of Age on Clinical Outcomes', 'Arthroscopic Superior Capsule Reconstruction With Combined Fascia Lata Autograft and Synthetic Scaffold Patch Graft for the Treatment of Irreparable Rotator Cuff Tears Yields Favorable Clinical and Radiographic Outcomes at Minimum 2-Year Follow-Up', 'Onlay Dynamic Anterior Stabilization With Biceps Transfer for the Treatment of Anterior Glenohumeral Instability Produces Good Clinical Outcomes and Successful Healing at a Minimum 1 Year of Follow-Up']",year - following - outcomes - clinical - treatment - functional - specific - assessment - compared - dynamic,0.838449052,FALSE
Re-injury after arthroscopic anatomical reconstruction of the lateral ankle ligaments treated by a new arthroscopic anatomical reconstruction: A case report,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
"Exploring the Impact of COVID-19 on Physical Activity One Month after Infection and Its Potential Determinants: Re-Infections, Pre-Illness Vaccination Profiles/Types, and Beyond",9,9_health_impact_changes_syndrome,"Impact of COVID-19 on Health, Physical Activity and Quality of Life","['health', 'impact', 'changes', 'syndrome', 'intervention', 'quality life', 'survey', 'recovery', 'body', 'clinical trial']","['Impact of COVID-19 on Health, Physical Activity and Quality of Life']","['Intervention Effects of a Kindergarten-Based Health Promotion Programme on Health-Related Quality of Life and Child Sick Days; [Interventionseffekte eines Kindergarten-basierten Gesundheitsförderungsprogramms auf die gesundheitsbezogene Lebensqualität und die Krankheitstage von Kindern]', 'A Pilot Cross-Sectional Study on the Level of Depression and Physical Activity among Students in Poland and Portugal in the Second Year of the COVID-19 Pandemic', 'A Comparison of Changes in Health Behavior, Obesity, and Mental Health of Korean Adolescents Before and During the COVID-19 Pandemic: Online Cross-Sectional Study']",health - impact - changes - syndrome - intervention - quality life - survey - recovery - body - clinical trial,0.936516364,FALSE
Effects of Weight-Bearing Exercise on Health-Related Physical Fitness and Sleep Indicators in Pre- and Postmenopausal Women,4,4_women_life_related_rehabilitation,Impact of Exercise and Rehabilitation on Quality of Life and Health in Patients,"['women', 'life', 'related', 'rehabilitation', 'body', 'quality life', 'physical activity', 'randomized controlled', 'intensity', 'randomized controlled trial']",['Impact of Exercise and Rehabilitation on Quality of Life and Health in Patients'],"['Effects of Multimodal Exercise on Health-related Physical Fitness and Quality of Life in Patients with Nasopharyngeal Carcinoma during Radiotherapy', 'Efficacy of a 4-Week Nurse-Led Exercise Rehabilitation Program in Improving the Quality of Life in Women Receiving a Post-Mastectomy Reconstruction Using the Motiva ErgonomixTM Round SilkSurface', 'Exercise capacity, physical activity and quality of life in patients with newly diagnosed hematologic malignancies: a cross-sectional study']",women - life - related - rehabilitation - body - quality life - physical activity - randomized controlled - intensity - randomized controlled trial,0.83040389,FALSE
Duration of Electro-Dry Needling Does Not Change the Pain Response After Repeated Nociceptive Thermal Stimuli in Asymptomatic Individuals: A Randomized Intervention Study,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
Patient Decision Making in Anterior Cruciate Ligament Reconstruction: A Discrete Choice Experiment Examining Graft Preference,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
Moderate- and High-Intensity Endurance Training Alleviate Diabetes-Induced Cardiac Dysfunction in Rats,11,11_adolescents_program_intensity_sectional study,Effects of Exercise Programs on Cardiorespiratory Fitness and Health Outcomes,"['adolescents', 'program', 'intensity', 'sectional study', 'cross sectional study', 'quality life', 'association', 'high', 'clinical trial', 'sectional']",['Effects of Exercise Programs on Cardiorespiratory Fitness and Health Outcomes'],"['Curvilinear association between waist-to-height ratio and cardiorespiratory fitness: a cross-sectional study based on nationwide data from Chinese children and adolescents', 'Effects of high-intensity interval training on physical morphology, cardiorespiratory fitness and metabolic risk factors of cardiovascular disease in children and adolescents: A systematic review and metaanalysis', 'Positive impacts of leisure-time physical activity on cardiorespiratory fitness, co-morbidity level, cardiovascular health and quality of life among midlife adults: a cross-sectional study of a Nigerian population']",adolescents - program - intensity - sectional study - cross sectional study - quality life - association - high - clinical trial - sectional,0.978342673,FALSE
"The Effects of a Physical Activity Intervention on Adiposity, Physical Fitness and Motor Competence: A School-Based, Non-Randomized Controlled Trial",23,23_adolescents_validity_children_study protocol,Physical Activity and Its Effects on Health and Well-being in Children and Adolescents,"['adolescents', 'validity', 'children', 'study protocol', 'physical activity', 'reliability', 'health', 'controlled trial', 'intervention', 'muscle strength']",['Physical Activity and Its Effects on Health and Well-being in Children and Adolescents'],"['Digital Health Nudging to increase physical activity in pediatric patients with congenital heart disease: A randomized controlled trial', 'The Effects of a Physical Activity Intervention on Adiposity, Physical Fitness and Motor Competence: A School-Based, Non-Randomized Controlled Trial', 'Development of the Children and Adolescents Physical Activity and Sedentary Questionnaire (CAPAS-Q): Psychometric Validity and Clinical Interpretation']",adolescents - validity - children - study protocol - physical activity - reliability - health - controlled trial - intervention - muscle strength,1,TRUE
Effects of Sex and Cuff Pressure on Physiological Responses during Blood Flow Restriction Resistance Exercise in Young Adults,24,24_low_resistance_compared_therapy,Blood Flow Restriction Therapy in Low-Resistance Rehabilitation Exercises,"['low', 'resistance', 'compared', 'therapy', 'study protocol', 'intensity', 'strength', 'treatment', 'cohort', 'knee']",['Blood Flow Restriction Therapy in Low-Resistance Rehabilitation Exercises'],"['Acute and adaptive cardiovascular and metabolic effects of passive heat therapy or high-intensity interval training in patients with severe lower-limb osteoarthritis', 'Effect of low-load resistance training with different degrees of blood flow restriction in patients with knee osteoarthritis: study protocol for a randomized trial', 'Physiological and clinical effects of lowintensity blood-flow restricted resistance exercise compared to standard rehabilitation in adults with knee osteoarthritis-Protocol for a randomized controlled trial']",low - resistance - compared - therapy - study protocol - intensity - strength - treatment - cohort - knee,1,FALSE
COMT Val158Met and BDNF Val66Met Single-Nucleotide Polymorphisms Are Not Associated With Emotional Distress One Year After Moderate-Severe Traumatic Brain Injury,6,6_related_adolescents_injury_following,Traumatic Brain Injury and Concussion Studies in Young Athletes,"['related', 'adolescents', 'injury', 'following', 'acute', 'cohort', 'associated', 'association', 'differences', 'early']",['Traumatic Brain Injury and Concussion Studies in Young Athletes'],"['Is Overparenting Associated with Adolescent/Young Adult Emotional Functioning and Clinical Outcomes Following Concussion?', 'Access to athletic trainers and sex as modifiers of time to reach clinical milestones after sport-related concussion in collegiate athletes', 'A Prospective Cohort Study of the Association Between Preinjury Psychosocial Function and Postconcussive Symptoms in Pediatric Mild Traumatic Brain Injury: An A-CAP Study']",related - adolescents - injury - following - acute - cohort - associated - association - differences - early,0.885468709,FALSE
Are bursal-sided supraspinatus tendon lesions caused by subacromial impingement?: A radiological matched-pair analysis,8,8_year_following_outcomes_clinical,Clinical Outcomes and Treatments in Shoulder Care,"['year', 'following', 'outcomes', 'clinical', 'treatment', 'functional', 'specific', 'assessment', 'compared', 'dynamic']",['Clinical Outcomes and Treatments in Shoulder Care'],"['Minimum 5-Year Clinical Outcomes of Arthroscopically Repaired Massive Rotator Cuff Tears: Effect of Age on Clinical Outcomes', 'Arthroscopic Superior Capsule Reconstruction With Combined Fascia Lata Autograft and Synthetic Scaffold Patch Graft for the Treatment of Irreparable Rotator Cuff Tears Yields Favorable Clinical and Radiographic Outcomes at Minimum 2-Year Follow-Up', 'Onlay Dynamic Anterior Stabilization With Biceps Transfer for the Treatment of Anterior Glenohumeral Instability Produces Good Clinical Outcomes and Successful Healing at a Minimum 1 Year of Follow-Up']",year - following - outcomes - clinical - treatment - functional - specific - assessment - compared - dynamic,0.984263881,FALSE
"The effect of 8-weeks of combined resistance training and chocolate milk consumption on maximal strength, muscle thickness, peak power and lean mass, untrained, university-aged males",26,26_resistance_review meta analysis_systematic review meta_review meta,Resistance and Functional Training in Various Populations: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,"['resistance', 'review meta analysis', 'systematic review meta', 'review meta', 'versus', 'meta analysis', 'meta', 'women', 'strength', 'study protocol']",['Resistance and Functional Training in Various Populations: A Systematic Review and Meta-Analysis of Randomized Controlled Trials'],"['Effectiveness of physical therapy interventions in women with dyspareunia: a systematic review and meta-analysis', 'Core Stabilization Exercise in Prenatal and Postnatal Women with Urinary Incontinence: A Systematic Review and Meta-Analysis of Randomized Controlled Trials', 'Effects of maximal-versus submaximal-intent resistance training on functional capacity and strength in community-dwelling older adults: a systematic review and meta-analysis']",resistance - review meta analysis - systematic review meta - review meta - versus - meta analysis - meta - women - strength - study protocol,1,FALSE
Low Femoral Tunnel Widening Incidence Rate After ACL Reconstruction Using Patellar Tendon Graft with Press-Fit Fixation,0,0_knee_outcomes_using_versus,Knee Injury Rehabilitation and Treatment Outcomes,"['knee', 'outcomes', 'using', 'versus', 'injury', 'combined', 'rehabilitation', 'clinical', 'early', 'case']",['Knee Injury Rehabilitation and Treatment Outcomes'],"['Muscle Strength and Efficiency of Muscle Activities Recovery Using Single-Joint Type Hybrid Assistive Limb in Knee Rehabilitation after Anterior Cruciate Ligament Reconstruction', 'Strength-Based Rehabilitation on Clinical Outcomes in Patients Postpartial Meniscectomy: A Systematic Review and Meta-analysis', 'Biopsychosocial Model Domains in Clinical Practice Guidelines for Return to Sport After ACL Injury: Systematic Review Using the AGREE II Checklist']",knee - outcomes - using - versus - injury - combined - rehabilitation - clinical - early - case,1,FALSE
Lower middle cerebral artery blood velocity during low-volume high-intensity interval exercise in chronic stroke,-1,-1_sports_efficacy_performance_recovery,Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery,"['sports', 'efficacy', 'performance', 'recovery', 'joint', 'therapy', 'muscle', 'level', 'body', 'use']",['Efficacy and Effects of Exercise and Therapy on Muscle Performance and Recovery'],"['Effects of full-body exercise-based pulmonary rehabilitation in patients with idiopathic pulmonary fibrosis: A systematic review and meta-analysis protocol', 'Effects of high-intensity respiratory muscle training on respiratory muscle strength in individuals with Parkinson’s disease: Protocol of a randomized clinical trial', 'ACUTE EFFECTS OF DRY NEEDLING ON LOWER LIMB MUSCLE STRENGTH IN CROSSFIT ATHLETES WITH LATENT TRIGGER POINTS: A RANDOMIZED TRIPLE-BLINDED PILOT CLINICAL TRIAL']",sports - efficacy - performance - recovery - joint - therapy - muscle - level - body - use,0,FALSE
"The ""Bad Ragaz Ring Method"" aquatic therapy for improving balance in football players aged 11-12 with ankle sprains",14,14_chronic_players_randomized controlled trial_single,Rehabilitation and Assessment in Athletes with Chronic Ankle Instability,"['chronic', 'players', 'randomized controlled trial', 'single', 'reliability', 'lower', 'effectiveness', 'randomized controlled', 'controlled trial', 'program']",['Rehabilitation and Assessment in Athletes with Chronic Ankle Instability'],"['Effects of a specific injury prevention neuromuscular training program for young female dancers. A randomized-controlled trial', 'Effectiveness of the Rehabilitation Training Combined with Maitland Mobilization for the Treatment of Chronic Ankle Instability: A Randomized Controlled Trial', 'The effectiveness of the STOP-X training program on the knee valgus angle and balance in female basketball players with dynamic knee valgus: a randomized controlled trial']",chronic - players - randomized controlled trial - single - reliability - lower - effectiveness - randomized controlled - controlled trial - program,1,FALSE
